タイトル,所在地,緯度,経度,写真1,写真2,写真3,写真4,写真5,写真6,写真7,写真8,写真9,写真10,連絡先,分類,災害種別,備考
霊山寺集会所,鳴門市大麻町板東字西山田32,34.159275,134.501667,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
共栄集会所,鳴門市大麻町板東字采女120-4,34.153053,134.50326,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
山田集会所,鳴門市大麻町板東字東山田57-2,34.157273,134.507348,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
大西集会所,鳴門市大麻町板東字采女48-7,34.155169,134.501705,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
舞姫会館,鳴門市大麻町板東字牛ノ宮東16-3,34.153186,134.510451,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
板東小学校（体育館）,鳴門市大麻町板東字宝蔵60,34.15629132,134.5039527,,,,,,,,,,,088-689-1222,指定避難所（法指定）,"洪水,崖崩れ等,地震,津波,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
板東連絡所,鳴門市大麻町板東字宝蔵65,34.156636,134.506174,,,,,,,,,,,088-689-1201,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
樋殿谷集会所,鳴門市大麻町板東字樋殿谷99-2,34.166874,134.509488,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
萩原団地集会所,鳴門市大麻町萩原字西山田68-35,34.157029,134.51061,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
萩原集会所,鳴門市大麻町萩原字アコメン11-3,34.154163,134.513404,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
津慈集会所,鳴門市大麻町津慈字宮ノ本150-4,34.14296001,134.5113764,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　吉野川○
川崎会館,鳴門市大麻町川崎字流レ466,34.140423,134.523731,,,,,,,,,,,088-689-0050,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
板東南ふれあいセンター（旧川崎幼稚園）庁舎,鳴門市大麻町川崎394,34.14225868,134.5206458,,,,,,,,,,,088-689-2767,指定避難所（法指定）,"洪水,崖崩れ等,津波,内水反乱",津波避難ビル　※洪水の緊急避難場所　旧吉野川○　吉野川○
青少年会館,鳴門市大麻町三俣字前野22-1,34.14080883,134.5274003,,,,,,,,,,,088-689-3410,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
人権福祉センター,鳴門市大麻町三俣字前野18,34.140491,134.527894,,,,,,,,,,,088-689-2090,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
市場団地集会所,鳴門市大麻町三俣字前野9-3,34.14124207,134.5277221,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
医王集会所,鳴門市大麻町市場字大道34-1,34.13507,134.533998,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○
東馬詰集会所,鳴門市大麻町東馬詰字諏訪の元74-1,34.145464,134.552897,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,内水反乱",避難所
馬詰集会所,鳴門市大麻町中馬詰字居屋敷18-5,34.141983,134.540892,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○
堀江南小学校（体育館）,鳴門市大麻町西馬詰字橋ノ本7,34.1447265,134.541471,,,,,,,,,,,088-689-0014,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○
高畑集会所,鳴門市大麻町高畑字居屋敷127-2,34.153761,134.531305,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○
大麻中学校（体育館）,鳴門市大麻町池谷字長田105,34.157592,134.528672,,,,,,,,,,,088-689-0230,指定避難所（法指定）,,避難所（体育館・柔道場・剣道場）
池谷集会所,鳴門市大麻町池谷字長田103-2,34.156398,134.528055,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
大谷集会所,鳴門市大麻町大谷字椢原14,34.166838,134.54028,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
堀江公民館,鳴門市大麻町大谷字道の上24,34.161532,134.540036,,,,,,,,,,,088-689-0040,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
堀江北小学校（体育館）,鳴門市大麻町大谷字中筋41,34.16034487,134.541486,,,,,,,,,,,088-689-0016,指定避難所（法指定）,"洪水,崖崩れ等,地震,津波,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○　吉野川○
姫田集会所,鳴門市大麻町姫田字森崎57-2,34.159949,134.546094,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　　旧吉野川○　吉野川○
小森集会所,鳴門市大麻町姫田字東百地1-4,34.164217,134.559734,,,,,,,,,,,－,指定避難所（法指定）,"洪水,崖崩れ等,地震,内水反乱",避難所　※洪水の緊急避難場所　旧吉野川○
長浜集会所,鳴門市北灘町大須字長浜5-3,34.206785,134.442717,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,内水反乱",避難所
大須集会所,鳴門市北灘町大須字西添25,34.20509,134.451271,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,内水反乱",避難所
西條集会所,鳴門市北灘町折野字屋敷379-1,34.21353035,134.4831464,,,,,,,,,,,－,指定避難所（法指定）,"高潮,崖崩れ等,地震,内水反乱",避難所
三津集会所,鳴門市北灘町折野字三津260-2,34.20676,134.46326,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,内水反乱",避難所
北灘西小学校（体育館）,鳴門市北灘町折野字屋敷64-3,34.21393597,134.4833472,,,,,,,,,,,088-682-0024,指定避難所（法指定）,"崖崩れ等,地震,津波,内水反乱",避難所
北條集会所,鳴門市北灘町折野字屋敷154-1,34.216496,134.484895,,,,,,,,,,,－,指定避難所（法指定）,"高潮,崖崩れ等,内水反乱",避難所
川筋集会所,鳴門市北灘町折野字川筋33-4,34.194579,134.476025,,,,,,,,,,,－,指定避難所（法指定）,"高潮,崖崩れ等,内水反乱",避難所
東地集会所,鳴門市北灘町折野字上東地122-2,34.21852713,134.4881102,,,,,,,,,,,－,指定避難所（法指定）,"高潮,崖崩れ等,内水反乱",避難所
鳥ヶ丸集会所,鳴門市北灘町鳥ヶ丸字トノムラ60-2,34.224633,134.512576,,,,,,,,,,,－,指定避難所（法指定）,地震,避難所
北灘公民館,鳴門市北灘町宿毛谷字クロハエ66,34.225241,134.520223,,,,,,,,,,,088-682-0442,指定避難所（法指定）,,避難所
大浦集会所,鳴門市北灘町大浦字東浦26-1,34.225036,134.524391,,,,,,,,,,,－,指定避難所（法指定）,,避難所
旧北灘中学校（体育館）,鳴門市北灘町大浦字東浦75,34.22419154,134.5254051,,,,,,,,,,,－,指定避難所（法指定）,,避難所（閉校）
北灘東小学校（体育館）,鳴門市北灘町粟田字西傍示228-1,34.22459047,134.5406287,,,,,,,,,,,088-682-0222,指定避難所（法指定）,"地震,津波",避難所
張集会所,鳴門市北灘町櫛木字中田14-2,34.204946,134.563983,,,,,,,,,,,－,指定避難所（法指定）,"高潮,崖崩れ等,内水反乱",避難所
櫛木集会所,鳴門市北灘町櫛木字中末83-3,34.21158,134.55861,,,,,,,,,,,－,指定避難所（法指定）,"高潮,崖崩れ等,地震,内水反乱",避難所
長江集会所,鳴門市大津町長江字東大黒1-2,34.150507,134.607067,,,,,,,,,,,－,指定避難所（法指定）,,避難所
大津団地集会所,鳴門市大津町矢倉字西の越2-2,34.146558,134.591277,,,,,,,,,,,－,指定避難所（法指定）,"洪水,高潮,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　新池川○
矢倉集会所,鳴門市大津町矢倉字弐ノ越34-3,34.154048,134.586704,,,,,,,,,,,－,指定避難所（法指定）,,避難所
吉永集会所,鳴門市大津町吉永128-2,34.166266,134.596054,,,,,,,,,,,－,指定避難所（法指定）,,避難所
鳴門渦潮高等学校（体育館）,鳴門市大津町吉永595,34.16461483,134.6012198,,,,,,,,,,,088-686-4565,指定避難所（法指定）,"地震,津波","津波避難場所　（体育館２Ｆ）
避難所（体育館１Ｆ）"
第一小学校（体育館）,鳴門市大津町木津野字内田11,34.16862503,134.5930297,,,,,,,,,,,088-685-1301,指定避難所（法指定）,地震,避難所
木津野集会所,鳴門市大津町木津野字野神ノ越56-3,34.163768,134.588147,,,,,,,,,,,－,指定避難所（法指定）,,避難所
備前島集会所,鳴門市大津町備前島字荒神の越164-3,34.162431,134.579344,,,,,,,,,,,－,指定避難所（法指定）,"洪水,高潮,崖崩れ等,内水反乱",避難所 ※洪水の緊急避難場所　新池川○　旧吉野川○
段関野崎集会所,鳴門市大津町段関字沖野21-6,34.152576,134.5692967,,,,,,,,,,,－,指定避難所（法指定）,"洪水,高潮,崖崩れ等,地震,内水反乱",避難所 ※洪水の緊急避難場所　新池川○　
段関集会所,鳴門市大津町段関字西53-2、53-3,34.16147515,134.5643855,,,,,,,,,,,－,指定避難所（法指定）,"洪水,高潮,崖崩れ等,地震,内水反乱",避難所 ※洪水の緊急避難場所　新池川○　旧吉野川○
大津西小学校（体育館）,鳴門市大津町大代1210,34.16690977,134.5669454,,,,,,,,,,,088-686-3509,指定避難所（法指定）,"洪水,高潮,崖崩れ等,地震,内水反乱",避難所
大代集会所,鳴門市大津町大代1213-2,34.166206,134.567078,,,,,,,,,,,－,指定避難所（法指定）,"洪水,高潮,崖崩れ等,地震,内水反乱",避難所 ※洪水の緊急避難場所　新池川○　旧吉野川○
大代前場集会所,鳴門市大津町大代1133-1,34.168445,134.567538,,,,,,,,,,,－,指定避難所（法指定）,"洪水,高潮,崖崩れ等,内水反乱",避難所
大津中央公民館,鳴門市大津町大代679-2,34.166346,134.570804,,,,,,,,,,,088-686-5569,指定避難所（法指定）,"洪水,高潮,崖崩れ等,内水反乱",避難所 ※洪水の緊急避難場所　新池川○　旧吉野川○
大幸集会所,鳴門市大津町大幸字若宮の元14,34.153921,134.554882,,,,,,,,,,,－,指定避難所（法指定）,"洪水,高潮,崖崩れ等,内水反乱",避難所　※洪水の緊急避難場所　新池川○　
撫佐集会所,鳴門市瀬戸町撫佐字本村62-2,34.2338901,134.6099541,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震,内水反乱",避難所
室撫佐漁業協同組合,鳴門市瀬戸町執事本村６４１－１,34.24310796,134.6171446,,,,,,,,,,,088-688-0591,指定避難所（法指定）,"崖崩れ等,内水反乱",避難所
小島田集会所,鳴門市瀬戸町小島田字通り1-3,34.227815,134.594927,,,,,,,,,,,－,指定避難所（法指定）,"高潮,崖崩れ等,内水反乱",避難所
島田小学校（体育館）,鳴門市瀬戸町中島田字北田36,34.23847717,134.5964942,,,,,,,,,,,－,指定避難所（法指定）,"高潮,崖崩れ等,内水反乱",避難所（休校）
小海集会所,鳴門市瀬戸町北泊字小海287-1,34.222266,134.568392,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震,内水反乱",避難所
北泊漁業協同組合（旧事務所）,鳴門市瀬戸町北泊字北泊209,34.236656,134.588643,,,,,,,,,,,－,指定避難所（法指定）,,避難所
北泊漁業協同組合（北泊漁民センター）,鳴門市瀬戸町北泊字北泊209-6,34.2391465,134.5875503,,,,,,,,,,,088-688-0131,指定避難所（法指定）,"崖崩れ等,地震,内水反乱",避難所
北泊公民館,鳴門市瀬戸町北泊字北泊103,34.237231,134.589351,,,,,,,,,,,,指定避難所（法指定）,"崖崩れ等,内水反乱",避難所
日出集会所,鳴門市瀬戸町堂浦字日出3-2,34.226806,134.573156,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震,内水反乱",避難所
堂浦ふれあい会館,鳴門市瀬戸町堂浦字地廻り弐266,34.218997,134.587318,,,,,,,,,,,088-688-0530,指定避難所（法指定）,"崖崩れ等,内水反乱",避難所
瀬戸小学校（体育館）,鳴門市瀬戸町堂浦字地廻り参220-1,34.22526519,134.5884455,,,,,,,,,,,088-688-0151,指定避難所（法指定）,,避難所
瀬戸公民館,鳴門市瀬戸町堂浦字地廻り壱86-4,34.215351,134.58341,,,,,,,,,,,088-688-0485,指定避難所（法指定）,"崖崩れ等,地震,内水反乱",避難所
瀬戸中学校（体育館）,鳴門市瀬戸町堂浦字地廻り壱96-4,34.21501077,134.5842854,,,,,,,,,,,088-688-0033,指定避難所（法指定）,"崖崩れ等,地震,内水反乱",避難所（体育館、柔道場・２階剣道場）
明神菅谷集会所,鳴門市瀬戸町堂浦字本浦中32-2,34.205432,134.573454,,,,,,,,,,,－,指定避難所（法指定）,地震,避難所
明神越浦集会所,鳴門市瀬戸町明神字越浦334-7,34.202938,134.583965,,,,,,,,,,,－,指定避難所（法指定）,"崖崩れ等,地震,内水反乱",避難所
明神集会所,鳴門市瀬戸町明神字下本城242,34.208262,134.578845,,,,,,,,,,,－,指定避難所（法指定）,"高潮,崖崩れ等,内水反乱",避難所
明神小学校（体育館）,鳴門市瀬戸町明神字越浦70,34.20193087,134.5803949,,,,,,,,,,,088-688-0532,指定避難所（法指定）,地震,避難所
鳴門東地区コミュニティセンター,鳴門市鳴門町土佐泊浦字脇口23-3,34.192833,134.623252,,,,,,,,,,,088-687-0993,指定避難所（法指定）,"高潮,崖崩れ等,内水反乱",避難所
花見山・心の手紙館,鳴門市鳴門町土佐泊浦字大毛234-35,34.21770218,134.6264056,,,,,,,,,,,088-687-3555,指定避難所（法指定）,"高潮,崖崩れ等,地震,内水反乱",避難所　42人：1～2階
大毛集会所,鳴門市鳴門町土佐泊浦字大毛122,34.225389,134.632366,,,,,,,,,,,－,指定避難所（法指定）,"高潮,崖崩れ等,内水反乱",避難所
黒山集会所,鳴門市鳴門町土佐泊浦字黒山118-295,34.20991279,134.6243347,,,,,,,,,,,－,指定避難所（法指定）,"高潮,崖崩れ等,内水反乱",避難所
野集会所,鳴門市鳴門町土佐泊浦字高砂181-2,34.20050487,134.6227872,,,,,,,,,,,－,指定避難所（法指定）,"高潮,崖崩れ等,内水反乱",避難所
鳴門東小学校（体育館）,鳴門市鳴門町土佐泊浦字高砂65-3,34.195742,134.623611,,,,,,,,,,,088-687-0950,指定避難所（法定外）,"高潮,崖崩れ等,内水反乱",避難所
